"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0500000US04017","Navajo County, Arizona","40063","803","29321","658","10742","706",
"0500000US04019","Pima County, Arizona","437827","1858","285639","2378","152188","2434",
"0500000US04021","Pinal County, Arizona","161917","1167","132318","1762","29599","1207",
"0500000US04023","Santa Cruz County, Arizona","16966","329","11749","414","5217","463",
"0500000US04025","Yavapai County, Arizona","111157","984","83441","1402","27716","1353",
"0500000US04027","Yuma County, Arizona","79341","862","56310","1167","23031","1239",
"0500000US05001","Arkansas County, Arkansas","6705","228","4330","270","2375","260",
"0500000US05003","Ashley County, Arkansas","7356","291","5210","330","2146","327",
"0500000US05005","Baxter County, Arkansas","19348","450","14549","520","4799","444",
"0500000US05007","Benton County, Arkansas","111919","1079","75000","1439","36919","1455",
"0500000US05009","Boone County, Arkansas","15363","399","10878","466","4485","425",
"0500000US05011","Bradley County, Arkansas","3752","164","2475","182","1277","160",
"0500000US05013","Calhoun County, Arkansas","1690","152","1484","142","206","68",
"0500000US05015","Carroll County, Arkansas","11347","376","8792","432","2555","334",
"0500000US05017","Chicot County, Arkansas","3965","203","2745","205","1220","204",
"0500000US05019","Clark County, Arkansas","8121","227","5278","234","2843","293",
"0500000US05021","Clay County, Arkansas","6021","218","4499","239","1522","195",
"0500000US05023","Cleburne County, Arkansas","10522","382","8480","370","2042","270",
"0500000US05025","Cleveland County, Arkansas","2931","146","2422","163","509","146",
"0500000US05027","Columbia County, Arkansas","8409","330","5948","310","2461","327",
"0500000US05029","Conway County, Arkansas","8279","246","6133","354","2146","317",
"0500000US05031","Craighead County, Arkansas","44437","650","26712","730","17725","823",
"0500000US05033","Crawford County, Arkansas","23357","370","17627","610","5730","630",
"0500000US05035","Crittenden County, Arkansas","18203","420","10440","442","7763","463",
"0500000US05037","Cross County, Arkansas","6483","222","4378","251","2105","273",
"0500000US05039","Dallas County, Arkansas","2558","147","1858","151","700","150",
"0500000US05041","Desha County, Arkansas","4610","207","2619","173","1991","205",
"0500000US05043","Drew County, Arkansas","7196","300","4585","368","2611","339",
